[throughput] started QUIC connection f2be249d2a4e8f57dc
[throughput] connection establishment time: 32.39 ms
[throughput] time to first byte: 37.04 ms
[throughput] second 112: 9.54 Mbit/s, bytes received: 1.193779 MB, packets received: 856
[throughput] second 113: 9.53 Mbit/s, bytes received: 1.192875 MB, packets received: 856
[throughput] second 114: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
[throughput] second 115: 9.52 Mbit/s, bytes received: 1.192365 MB, packets received: 855
[throughput] second 116: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 858
[throughput] second 117: 9.53 Mbit/s, bytes received: 1.192365 MB, packets received: 857
[throughput] second 118: 9.52 Mbit/s, bytes received: 1.19147 MB, packets received: 855
[throughput] second 119: 9.54 Mbit/s, bytes received: 1.19378 MB, packets received: 856
[throughput] second 120: 9.53 Mbit/s, bytes received: 1.192382 MB, packets received: 855
[throughput] closed QUIC connection f2be249d2a4e8f57dc
[throughput] total: bytes received: 143.168802 MB, packets received: 102781
[throughput] export states success:result/qperf_throughput_result.json
